Date,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,VWAP,Month,Year,Day_Perc_Change,Trend,signal,Bolinger,Upper Band,Lower Band
2017-08-17,MINDTREE,EQ,2017-08-17,468.0,468.1,480.0,468.05,475.55,475.7,475.66,222738,105947662.2,4825,45223,20.3,518.1668716658836,8,2017,0.016452991452991398,Slight or No change,0.0,473.8174999999998,492.4160646022218,455.21893539777784
2017-08-18,MINDTREE,EQ,2017-08-18,475.7,475.7,479.9,462.5,467.0,466.2,468.33,257169,120440442.55,8192,58677,22.82,517.8215975741806,8,2017,-0.01997056968677735,Slight or No change,0.0,472.9124999999999,491.12076518514306,454.70423481485676
2017-08-21,MINDTREE,EQ,2017-08-21,466.2,467.95,472.05,460.1,461.5,461.4,465.77,103305,48116370.9,2630,33927,32.84,517.671412090587,8,2017,-0.01029601029601035,Slight or No change,0.0,471.76999999999987,489.8500093153174,453.68999068468236
2017-08-22,MINDTREE,EQ,2017-08-22,461.4,461.5,463.0,451.4,453.6,453.95,455.8,241643,110139867.35,8831,86413,35.76,517.2771135691147,8,2017,-0.016146510619852616,Slight or No change,0.0,470.28999999999996,489.1394757710119,451.440524228988
2017-08-23,MINDTREE,EQ,2017-08-23,453.95,455.25,464.1,453.0,462.95,460.9,458.58,232458,106601737.25,6723,90872,39.09,516.9435064307264,8,2017,0.015310056173587272,Slight or No change,0.0,469.24249999999995,487.7117140715546,450.7732859284453
2017-08-24,MINDTREE,EQ,2017-08-24,460.9,459.35,469.1,459.35,468.75,468.2,465.46,85512,39802754.8,3449,25253,29.53,516.8376328758411,8,2017,0.015838576697765342,Slight or No change,0.0,468.6424999999999,486.37799147598093,450.9070085240189
2017-08-28,MINDTREE,EQ,2017-08-28,468.2,468.6,480.6,468.6,478.0,478.0,476.51,367103,174927010.25,10203,127147,34.64,516.4788320132134,8,2017,0.02093122597180685,Slight or No change,0.0,468.4525,485.66829675456796,451.236703245432
2017-08-29,MINDTREE,EQ,2017-08-29,478.0,477.0,478.0,466.9,467.3,472.1,473.96,310572,147198333.55,8892,106038,34.14,516.134664571138,8,2017,-0.012343096234309623,Slight or No change,0.0,468.0825,484.60260816199656,451.5623918380034
2017-08-30,MINDTREE,EQ,2017-08-30,472.1,473.0,476.0,459.0,462.9,462.1,467.09,310351,144961187.55,11186,55355,17.84,515.7191324990984,8,2017,-0.0211819529760644,Slight or No change,0.0,467.31499999999994,483.4238435992506,451.2061564007493
2017-08-31,MINDTREE,EQ,2017-08-31,462.1,461.0,470.75,458.05,459.15,461.0,463.73,437018,202658911.6,13475,124571,28.5,515.1329405027739,8,2017,-0.002380437134819391,Slight or No change,0.0,466.73499999999996,482.8779176258053,450.5920823741946
2017-09-01,MINDTREE,EQ,2017-09-01,461.0,463.3,466.6,459.3,460.0,460.85,462.28,219330,101392621.4,7141,43567,19.86,514.8426491953844,9,2017,-0.00032537960954437395,Slight or No change,0.0,466.1125,482.14932850257196,450.07567149742806
2017-09-04,MINDTREE,EQ,2017-09-04,460.85,461.7,463.95,452.6,454.1,454.9,457.36,141380,64662131.5,4005,55140,39.0,514.6367275345452,9,2017,-0.012910925463817002,Slight or No change,0.0,465.5625,482.36619242003735,448.75880757996265
2017-09-05,MINDTREE,EQ,2017-09-05,454.9,456.0,458.8,450.25,453.1,455.1,455.05,213952,97358609.9,7826,50908,23.79,514.3288148957274,9,2017,0.0004396570674873868,Slight or No change,0.0,464.76500000000004,481.981029862032,447.54897013796807
2017-09-06,MINDTREE,EQ,2017-09-06,455.1,451.0,454.0,449.65,450.0,450.6,451.19,196333,88584444.75,5210,34604,17.63,514.027792295125,9,2017,-0.009887936717205005,Slight or No change,0.0,463.13500000000005,479.13184508368533,447.13815491631476
2017-09-07,MINDTREE,EQ,2017-09-07,450.6,450.9,455.0,443.9,445.25,445.25,447.89,262010,117352751.5,7729,77154,29.45,513.5969612053643,9,2017,-0.011873058144695971,Slight or No change,0.0,461.71500000000003,478.78760347672636,444.6423965232737
2017-09-08,MINDTREE,EQ,2017-09-08,445.25,444.95,456.5,439.05,441.4,442.85,447.05,818456,365891370.4,14696,320505,39.16,512.2391854080329,9,2017,-0.005390230207748425,Slight or No change,0.0,460.64000000000004,479.6155133069702,441.6644866930299
2017-09-11,MINDTREE,EQ,2017-09-11,442.85,443.0,451.45,443.0,447.45,446.6,447.01,706177,315670672.7,11885,317694,44.99,511.1699606019204,9,2017,0.008467878514169636,Slight or No change,0.0,460.4050000000001,479.97465696388304,440.83534303611714
2017-09-12,MINDTREE,EQ,2017-09-12,446.6,445.6,448.75,439.55,442.0,442.5,442.24,628471,277933150.2,13331,409324,65.13,510.1886792243261,9,2017,-0.0091804746977161,Slight or No change,0.0,459.6725000000001,480.79060086656403,438.5543991334362
2017-09-13,MINDTREE,EQ,2017-09-13,442.5,443.0,449.25,443.0,445.5,444.25,445.75,365175,162777145.0,6995,155660,42.63,509.6456894176762,9,2017,0.0039548022598869794,Slight or No change,0.0,458.52250000000015,480.3946759079249,436.6503240920754
